foodname,portiondesc
"Hot chocolate, homemade, with whole milk",cup
"Hot chocolate, Puerto Rican style, with whole milk",cup
"Hot chocolate, Puerto Rican style, with reduced fat (2%) milk",cup
"Hot chocolate, Puerto Rican style, with low fat (1%) milk",cup
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with whole milk ",cup
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with reduced fat (2%) milk ",cup
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with low fat (1%) milk ",cup
"Hot chocolate, (Hershey's), (Nestle's Quick), made from mix, with fat free (skim) milk ",cup
"Chocolate milk, homemade, with whole milk ",cup
"Chocolate milk, homemade, with reduced fat (2%) milk ",cup
"Chocolate milk, homemade, with low fat (1%) milk ",cup
"Chocolate milk, homemade, with fat free (skim) milk ",cup
"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water",cup
"Hot chocolate, (Swiss Miss), (Carnation), made from dry mix (with milk & sugar), with water","packet dry mix, prepared with water"
"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water",cup
"Hot chocolate, (Carnation), (Swiss Miss), (Nutrisystem), made from mix (with milk & low calorie sweetener), with water","packet dry mix, prepared with water"
Ovaltine sugar free Hot Cocoa ,cup
Alba High Calcium Cocoa,cup
Alba High Calcium Cocoa,"packet dry mix, prepared with water"
"Chocolate Milk, (Nestle's Quik), (Swiss Miss), with 1% fat milk",cup
"Chocolate beverage, (Jenny Craig), (Alba), from dry mix with milk and low calorie sweetener, water added",cup
"Milk, whole, with strawberry or vanilla flavor",cup
"Milk, reduced fat (2%), with strawberry or vanilla flavor",cup
"Milk, low fat (1%) with strawberry or vanilla flavor",cup
"Milk, fat free (skim), with strawberry or vanilla flavor",cup
"Malted milk, chocolate, with 2% milk",cup
"Malted milk, natural flavor, with 2% milk",cup
"Malted milk, natural flavor, with whole milk",cup
"Malted milk, fortified, natural flavor, with whole milk",cup
"Malted milk, fortified, natural flavor, with 2% milk",cup
"Malted milk, fortified, natural flavor, with skim milk",cup
"Malted milk, fortified, chocolate, with skim milk",cup
"Malted milk, fortified, chocolate, with whole milk",cup
"Malted milk, fortified, chocolate, with 2% milk",cup
"Malted milk, fortified, chocolate, with 1% milk",cup
"Eggnog, with whole milk",cup
"Eggnog, with 2% milk ",cup
"Milk shake,  fountain-type, chocolate, with whole milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, chocolate, with 2% milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, chocolate, with low fat milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, vanilla or strawberry, with whole milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, vanilla or strawberry, with 2% milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, vanilla or strawberry, with low fat milk",milkshake (10 fl oz)
"Milk shake,  fountain-type, vanilla or strawberry, with skim milk",milkshake (10 fl oz)
"Milk shake, with malt, with whole milk",milkshake (10 fl oz)
"Milk shake, with malt, with 1% milk",milkshake (10 fl oz)
"Milk shake, fast food or carry-out, chocolate",medium shake (20 fl oz)
"Milk shake, fast food or carry-out, chocolate",Roy Rogers shake
"Milk shake, fast food or carry-out, chocolate",medium Burger King shake
"Milk shake, fast food or carry-out, chocolate",medium Dairy Queen shake
"Milk shake, fast food or carry-out, chocolate",McDonald's child size shake (12 fl oz)
"Milk shake, fast food or carry-out, chocolate",McDonald's medium shake (21 fl oz)
"Milk shake, fast food or carry-out, chocolate",cup
"Milk shake, fast food or carry out, vanilla or strawberry",medium shake (20 fl oz)
"Milk shake, fast food or carry out, vanilla or strawberry",Roy Rogers shake
"Milk shake, fast food or carry out, vanilla or strawberry",medium Burger King shake
"Milk shake, fast food or carry out, vanilla or strawberry",medium Dairy Queen shake
"Milk shake, fast food or carry out, vanilla or strawberry",McDonald's child size shake (12 fl oz)
"Milk shake, fast food or carry out, vanilla or strawberry",McDonald's medium shake (21 fl oz)
"Fruit smoothie, made with whole milk",cup
"Fruit smoothie, made with fat free (skim) milk",cup
"Fruit smoothie, made with reduced fat (2%) milk",cup
"Fruit smoothie, made with low fat (1%) milk",cup
Orange Julius,cup
"Fruit smoothie, made with yogurt and ice cream",cup
"Fruit smoothie, made with yogurt and ice cream",commercial smoothie (20 fl oz)
Chocolate-flavored drink,cup (drink box)
Chocolate-flavored drink,bottle (9 fl oz)
Strawberry-flavored drink,cup
Strawberry-flavored drink,bottle (9 fl oz)
"Cafe con leche, with whole milk",coffee cup (6 fl oz)
Cafe con leche  with sugar,coffee cup (6 fl oz)
Cafe con leche with sugar and 2% milk,coffee cup (6 fl oz)
"Instant breakfast, canned",cup
"Instant breakfast, canned",can (10 fl oz)
"Instant breakfast, powder, with 2% milk",cup
"Instant breakfast, powder, with whole milk ",cup
"Instant breakfast, powder, with skim milk",cup
"Instant breakfast, powder, with 1% milk",cup
"Instant breakfast, powder, low calorie sweetener, with 2% milk",cup
"Diet beverage, powder, made with fat free milk",cup
Ensure Nutrition Shake,cup
Ensure Nutrition Shake,can (11 fl oz)
Ensure Nutrition Shake,carton (12 fl oz)
"Meal supplement, high calorie, canned or powdered, reconstituted",cup
"Meal supplement, high calorie, canned or powdered, reconstituted",can  (12.5 fl oz)
"Meal replacement, high protein, liquid",cup
Boost Nutritional Energy Drink,cup
"Milk, dry, whole, not reconstituted",cup
"Milk, dry, whole, not reconstituted",tablespoon
Low fat dry milk powder,cup
Low fat dry milk powder,tablespoon
"Milk, dry, nonfat, not reconstituted",cup
"Milk, dry, nonfat, not reconstituted",tablespoon
"Buttermilk, dry, not reconstituted",tablespoon
"Whey, sweet, dry",tablespoon
"Cocoa, dry mix (with milk & sugar), not reconstituted",tablespoon
"Cocoa, dry mix (with nonfat dry milk & low calorie sweetener), not reconstituted",tablespoon
"Cocoa powder, unsweetened",cup
"Cocoa powder, unsweetened",tablespoon
"Cocoa powder, unsweetened",teaspoon
"Chocolate flavored powdered drink mix, not reconstituted",tablespoon
"Chocolate-flavored powdered drink mix with low-calorie sweetener, not reconstituted",tablespoon
"Malted milk, dry mix, fortified, natural flavor, not reconstituted",serving (4 tablespoons)
"Malted milk, dry mix, fortified, chocolate, not reconstituted",serving (4 tablespoons)
"Nestle's Quik powder, strawberry",serving (2-3 heaping teaspoons)
"Instant breakfast, powder, not reconstituted",tablespoon
"Instant breakfast, powder, sweetened with low calorie sweetener, not reconstituted",tablespoon
"Protein supplement powder, milk-based, not reconstituted",tablespoon
"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",tablespoon
"Meal replacement powder, high protein, milk-based, to mix with fruit juice, not reconstituted",scoop (1.1 oz)
"Meal replacement powder, milk-based, not reconstituted",tablespoon
"Meal replacement powder, milk-based, not reconstituted",scoop (1.2 oz)
"Nutrient supplement powder, milk-based, not reconstituted",tablespoon
"Nutrient supplement powder, milk-based, high protein, not reconstituted",packet (0.95 oz)
"Meal replacement powder, milk- and soy-based,  not reconstituted",tablespoon
"Meal replacement powder, milk- and soy-based,  not reconstituted",packet (D.E.L.T.A)
"Cream, light",cup
"Cream, light",tablespoon
"Cream, light, whipped, unsweetened",cup
"Cream, light, whipped, unsweetened",tablespoon
"Cream, half and half",cup
"Cream, half and half",tablespoon
"Cream, half and half, low fat",cup
"Cream, half and half, low fat",tablespoon
"Cream, half and half, fat free",cup
"Cream, half and half, fat free",tablespoon
"Cream, heavy (whipping cream)",cup
"Cream, heavy (whipping cream)",tablespoon
"Cream, heavy, whipped, unsweetened",cup
"Cream, heavy, whipped, unsweetened",tablespoon
"Cream, heavy, whipped, sweetened",cup
"Cream, heavy, whipped, sweetened",tablespoon
"Cream, whipped, pressurized container",cup
"Cream, whipped, pressurized container",tablespoon
"Cream, whipped, pressurized container, light",cup
"Cream, whipped, pressurized container, light",tablespoon
"Cream, whipped, pressurized container, fat free",cup
"Cream, whipped, pressurized container, fat free",tablespoon
"Coffee creamer, liquid",cup
"Coffee creamer, liquid",tablespoon
"Coffee creamer, flavored, liquid",cup
"Coffee creamer, flavored, liquid",tablespoon
"Coffee creamer, light, liquid",cup
"Coffee creamer, light, liquid",tablespoon
"Coffee creamer, powdered",packet
"Coffee creamer, powdered",teaspoon
"Coffee creamer, light, powdered",packet
"Coffee creamer, light, powdered",teaspoon
"Coffee creamer, flavored, powdered",packet
"Coffee creamer, flavored, powdered",teaspoon
Cool Whip pressurized can,tablespoon
Cool Whip frozen,tablespoon
Cool Whip Lite frozen,tablespoon
Cool Whip Free frozen,tablespoon
Cool Whip Sugar Free frozen ,tablespoon
Dream Whip ,tablespoon
Sour cream,tablespoon
"Sour cream, half and half",tablespoon
"Sour cream, half and half",ounce(s)
"Sour cream, half and half",container (8 oz)
"Sour cream, reduced fat",tablespoon
"Sour cream, reduced fat",ounce(s)
"Sour cream, reduced fat",container (8 oz)
"Sour cream, light",tablespoon
"Sour cream, light",teaspoon
"Sour cream, light",ounce(s)
"Sour cream, light",container (8 oz)
Nonfat sour cream ,tablespoon
Nonfat sour cream ,ounce(s)
Nonfat sour cream ,container (8 oz)
"Sour cream, imitation (nondairy)",tablespoon
"Sour cream, imitation (nondairy)",ounce(s)
"Sour cream, imitation (nondairy)",container (8 oz)
"Dip, made with sour cream",tablespoon
"Dip, made with fat free sour cream",tablespoon
"Dip, made with light sour cream",tablespoon
"Dip, made with reduced fat sour cream",tablespoon
"Spinach dip, made with sour cream and mayonnaise",tablespoon
"Spinach dip, made with fat free sour cream and low-calorie mayonnaise",tablespoon
"Spinach dip, made with reduced fat sour cream and mayonnaise",tablespoon
"Ice cream, regular, vanilla or other flavors",cup
"Ice cream, regular, vanilla or other flavors",medium scoop
"Ice cream, regular, vanilla or other flavors",single-serve cup (3 fl oz)
"Ice cream, regular, chocolate",cup
"Ice cream, regular, chocolate",single-serve cup (3.5 fl oz)
"Ice cream, regular, chocolate",medium scoop
"Ben and Jerry's ice cream, vanilla or other flavors",cup
"Ben and Jerry's ice cream, vanilla or other flavors",medium scoop
"Ben and Jerry's ice cream, vanilla or other flavors",Viennetta slice
"Ben and Jerry's ice cream, chocolate",cup
"Ben and Jerry's ice cream, chocolate",medium scoop
"Ben and Jerry's ice cream, chocolate",Viennetta slice
"Ice cream, soft serve, vanilla or other flavors",cup
"Ice cream, soft serve, chocolate",cup
"Ice cream, no sugar added, vanilla or other flavors",cup
"Ice cream, no sugar added, vanilla or other flavors",medium scoop
"Ice cream, no sugar added, chocolate",cup
"Ice cream, no sugar added, chocolate",medium scoop
"Ice cream bar, no coating",bar
"Ice cream bar, chocolate covered",3 Musketeers Bar
"Ice cream bar, chocolate covered",Heath bar
"Ice cream bar, chocolate covered",Klondike Krispy bar
"Ice cream bar, chocolate covered",Mickey Mouse bar
"Ice cream bar, chocolate covered",Rondo
"Ice cream bar, chocolate covered",bar
"Ice cream bar, chocolate covered",Ice cream nugget
"Ice cream bar, chocolate covered",3 Musketeers Bar (snack size)
"Ice cream bar, chocolate or caramel covered, with nuts",bar
"Ice cream bar, chocolate or caramel covered, with nuts",bar
"Ice cream bar, chocolate or caramel covered, with nuts",bar
"Ice cream bar, chocolate or caramel covered, with nuts",bar
"Dove bar, chocolate ice cream",bar
"Dove bar, vanilla ice cream",bar (3 fl oz)
Haagen-Dazs ice cream bar with nuts,Haagen-Dazs bar
"Ice cream bar, chocolate ice cream, chocolate covered",3 Musketeers Bar (2 fl oz)
"Ice cream bar, cake covered",bar
Ice cream bar or stick with fruit,bar
Ice cream bar or stick with fruit,Col Crunch Sundae on a stick
Ice cream sandwich,Oreo mini sandwich
Ice cream sandwich,sandwich
Ice cream cookie sandwich,Chipwich
Ice cream cookie sandwich,sandwich
"Ice cream cone, vanilla ice cream or other flavors, with nuts",cone
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",Choco Taco
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",Nutty Buddy
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered, with nuts",cone and single dip
"Ice cream cone, vanilla ice cream or other flavors, chocolate covered",cone and single dip
"Ice cream cone, vanilla ice cream or other flavors ",cone and single dip
"Ice cream cone, chocolate ice cream, with nuts",cone
"Ice cream cone, chocolate ice cream, chocolate covered ",cone
"Ice cream cone, chocolate ice cream",cone and single dip
"Ice cream cone, chocolate ice cream, chocolate covered, with nuts",cone
Drumstick ice cream sundae cone,cone
"Ice cream soda, vanilla or other flavors",cup
"Ice cream soda, vanilla or other flavors",soda (10 fl oz)
"Ice cream soda, chocolate",cup
"Ice cream soda, chocolate",soda (10 fl oz)
"Ice cream sundae, fruit topping, with whipped cream",banana split
"Ice cream sundae, fruit topping, with whipped cream",sundae
"Ice cream sundae, prepackaged, vanilla or other flavors",sundae (6 fl oz)
"Ice cream sundae, chocolate or fudge topping, with whipped cream",sundae
"Ice cream sundae, caramel or butterscotch topping, with whipped cream",sundae
"Ice cream sundae, fudge topping, with cake and whipped cream",sundae
"Ice cream pie, no crust",piece (1/6 of whole)
"Ice cream pie, with cookie crust, fudge topping, and whipped cream",piece (1/6 of whole)
Fried ice cream,cup
"Ice cream, light, vanilla or other flavors ",cup
"Ice cream, light, vanilla or other flavors ",medium scoop
"Ice cream, light, chocolate",cup
"Ice cream, light, chocolate",medium scoop
"Ice cream, light, no sugar added, vanilla or other flavors",cup
"Ice cream, light, no sugar added, vanilla or other flavors",medium scoop
"Ice cream, light, no sugar added, chocolate",cup
"Ice cream, light, no sugar added, chocolate",medium scoop
"Ice cream, light, soft serve, vanilla or other flavors",cup
"Ice cream, light, soft serve, chocolate",cup
"Ice cream, light, soft serve, chocolate",medium Frosty
"Ice cream, light, soft serve, chocolate",Milky Way shake
"Ice cream, light, soft serve cone, vanilla or other flavors",McDonald's cone
"Ice cream, light, soft serve cone, vanilla or other flavors",McDonald's kiddie cone
"Ice cream, light, soft serve cone, vanilla or other flavors",medium fast food cone
"Ice cream, light, soft serve cone, chocolate",McDonald's cone
"Ice cream, light, soft serve cone, chocolate",McDonald's kiddie cone
"Ice cream, light, soft serve cone, chocolate",medium fast food cone
"Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)",medium Blizzard (13 fl oz)
"Ice cream, light, soft serve, blended with candy or cookies (Blizzard, McFlurry)",regular McFlurry (12 fl oz)
"Ice cream sandwich, light vanilla ice cream",sandwich
"Ice cream sandwich, light vanilla ice cream",Dairy Queen Sandwich
"Ice cream sandwich, light chocolate ice cream",sandwich
"Ice cream sandwich, light, no-sugar- added ice cream",sandwich
"Ice cream bar, light ice cream, chocolate-coated",Light Eskimo Pie bar
"Ice cream bar, light ice cream, chocolate-coated",bar (3 fl oz)
"Ice cream bar, light ice cream, chocolate-coated",Weight Watchers English Toffee Crunch Bar
"Ice cream bar, light ice cream, chocolate covered, with nuts",Buster bar
"Ice cream cone, light ice cream, chocolate",cone and single dip
"Ice cream cone, light ice cream, vanilla or other flavors ",cone and single dip
"Ice cream sundae, light, soft serve, chocolate or fudge topping, with whipped cream ",sundae
"Ice cream sundae, light, soft serve, fruit topping, with whipped cream",sundae
"Ice cream sundae, light, soft serve, caramel or butterscotch topping, with whipped cream",sundae
"Ice cream sundae, light, soft serve, chocolate or fudge topping, no whipped cream",sundae
"Ice cream sundae, light, soft serve, fruit topping, no whipped cream",sundae
"Ice cream sundae, light, soft serve, caramel or butterscotch topping, no whipped cream",sundae
Creamsicle or dreamsicle,bar or stick
Fudgesicle,bar or stick
"Milk dessert bar or stick, frozen, with coconut",bar or stick
"Sherbet, all flavors",cup
"Sherbet, all flavors",Flintstone push-up (2.75 fl oz)
"Sherbet, all flavors",medium scoop
"Sherbet, all flavors",push up (3 fl oz)
"Fat free ice cream, no sugar added, chocolate",cup
"Fat free ice cream, no sugar added, chocolate",medium scoop
"Fat free ice cream, no sugar added, vanilla or other flavors",cup
"Fat free ice cream, no sugar added, vanilla or other flavors",medium scoop
"Fat free ice cream, vanilla or other flavors",cup
"Fat free ice cream, vanilla or other flavors",medium scoop
"Fat free ice cream, chocolate",cup
"Fat free ice cream, chocolate",medium scoop
"Milk dessert bar, frozen, made from low fat milk",Weight Watchers Treat Bar
"Milk dessert sandwich bar, frozen, made from low fat milk",Weight Watchers Sandwich bar
"Milk dessert sandwich bar, frozen, with low-calorie sweetener, made from low fat milk",Eskimo Pie Sandwich
"Milk dessert bar, frozen, made from low fat milk and low calorie sweetener",bar
"Light ice cream, bar or stick, with low-calorie sweetener, chocolate-coated ",bar or stick (2.5 fl oz)
Baked Alaska,piece (1/8 of whole)
"Bread pudding, with low fat (1%) milk",cup
"Bread pudding, with reduced fat (2%) milk",cup
"Bread pudding, with whole  milk",cup
"Bread pudding, with fat free (skim) milk",cup
"Bread pudding, Puerto Rican, with evaporated milk and rum ",cup
"Diplomat pudding, Puerto Rican ",cup
"Bread pudding, Mexican ",cup
"Bread pudding, Mexican, with milk ",cup
"Bread pudding, Mexican, lower fat",cup
"Custard, with whole milk",cup
"Custard, with reduced fat (2%) milk",cup
"Custard, with heavy cream",cup
"Custard, with fat free (skim) milk",cup
"Custard, with low fat (1%) milk",cup
"Custard, with soymilk",cup
"Custard, Puerto Rican style, with evaporated milk",cup
"Custard, Puerto Rican style, with reduced fat (2%) milk",cup
"Custard, Puerto Rican style, with whole milk",cup
"Custard, Puerto Rican style, with heavy cream",cup
"Pudding, rice, with rice beverage",cup
"Pudding, rice, with reduced fat (2%) milk",cup
"Pudding, rice, with whole milk",cup
"Pudding, rice, with low fat (1%) milk",cup
"Pudding, rice, with half and half",cup
"Pudding, rice, with fat free (skim) milk",cup
"Pudding, rice, with soy milk (soy beverage)",cup
"Pudding, tapioca,  home recipe, with reduced fat (2%) milk",cup
"Pudding, tapioca,  home recipe, with whole milk",cup
"Pudding, tapioca,  home recipe, with fat free (skim)  milk ",cup
"Pudding, tapioca,  dry mix, with whole milk ",cup
"Pudding, tapioca,  dry mix, with fat free (skim)  milk",cup
"Pudding, tapioca,  dry mix, with reduced fat (2%) milk",cup
"Pudding, tapioca,  dry mix, with low fat (1%) milk ",cup
"Pudding, tapioca,  dry mix, with light cream",cup
"Pudding, tapioca,  dry mix, with half and half",cup
"Pudding, tapioca,  dry mix, with soy milk (soy beverage)",cup
"Pudding, tapioca, chocolate, with milk",cup
"Coconut pudding, with reduced fat (2%) milk ",cup
"Coconut pudding, with whole milk ",cup
"Indian pudding, (with milk, molasses and cornmeal)",cup
"Pudding, pumpkin",cup
"Pudding, pumpkin, Puerto Rican style",cup
"Pudding, pumpkin, Puerto Rican style","piece (2-1/2"" x 2"" x 1"")"
"Custard, fresh corn, Puerto Rican style ",cup
"Pudding, vanilla, dry mix, with reduced fat (2%) milk",cup
"Pudding, vanilla, dry mix, with whole milk",cup
"Pudding, vanilla, dry mix, with fat free (skim) milk",cup
"Pudding, vanilla, dry mix, with low fat (1%) milk",cup
"Chocolate pudding, dry mix, with fat free (skim) milk",cup
"Chocolate pudding, dry mix, with reduced fat (2%) milk",cup
"Chocolate pudding, dry mix, with whole milk",cup
"Chocolate pudding, dry mix, with low fat (1%) milk",cup
"Chocolate pudding, dry mix, with half and half",cup
"Chocolate pudding, dry mix, with soymilk",cup
"Pudding, vanilla, low-calorie dry mix, with reduced fat (2%) milk",cup
"Pudding, vanilla, low-calorie dry mix, with fat free (skim) milk",cup
"Pudding, vanilla, low-calorie dry mix, with low fat (1%) milk",cup
"Pudding, vanilla, low-calorie dry mix, whole milk",cup
"Chocolate pudding, low-calorie dry mix, with reduced fat (2%) milk",cup
"Chocolate pudding, low-calorie dry mix, with fat free (skim) milk",cup
"Chocolate pudding, low-calorie dry mix, with low fat (1%) milk",cup
"Chocolate pudding, low-calorie dry mix, with whole milk",cup
"Chocolate pudding, ready-to-eat (snack pack or cup), reduced fat",cup
"Chocolate pudding, ready-to-eat (snack pack or cup), fat free",cup
"Pudding, vanilla, ready-to-eat (snack pack or cup), reduced fat",cup
"Pudding, vanilla, ready-to-eat (snack pack or cup), fat free",cup
"Pudding, vanilla, ready-to-eat (snack pack or cup)",cup
"Pudding, vanilla, ready-to-eat (snack pack or cup), low calorie",cup
"Chocolate pudding, ready-to-eat (snack pack or cup)",cup
"Chocolate pudding, ready-to-eat (snack pack or cup), low calorie",cup
"Chocolate swirl pudding, ready-to-eat (snack pack or cup)",cup
"Pudding, tapioca, ready-to-eat (snack pack or cup)",cup
"Pudding, tapioca, ready-to-eat (snack pack or cup), fat free",cup
"Banana pudding, with vanilla wafers, made with reduced fat (2%) milk",cup
Chocolate mousse,cup
Fruit-flavored mousse,cup
Chantilly Cream,cup
"Coconut custard, Puerto Rican style",cup
"Coconut custard, Puerto Rican style","piece (4"" x 2"" x 1/2"")"
Dulce de leche,cup
"Barfi or Burfi, Indian dessert","piece (1-7/8"" x 1-1/2"" x 3/4"")"
Tiramisu,piece
"Cream sauce, made with margarine",cup
"Cream sauce, made with margarine",tablespoon
"Cream sauce, made with butter",cup
"Cream sauce, made with butter",tablespoon
"Milk gravy, with meat drippings",cup
"Milk gravy, without fat",cup
"Milk gravy, with vegetable oil",cup
"Milk gravy, with margarine",cup
Blue cheese,"cup, crumbled"
Bondost cheese,"cup, shredded"
"Brick cheese, with salami","cup, shredded"
Camembert cheese,cup
Brie cheese,"cup, sliced"
Cheddar cheese,slice (1 oz)
"Cheddar cheese, reduced fat",slice (1 oz)
"Cheddar cheese, dry, grated",cup
"Cheese, Colby",slice (1 oz)
"Cheese, Colby Jack",slice (1 oz)
"Cheese, Feta","cup, crumbled"
"Cheese, Fontina","cup, shredded"
"Cheese, goat","cup, crumbled"
"Cheese, Gouda or Edam","cup, diced"
"Cheese, Gruyere","cup, shredded"
"Cheese, Limburger",cup
"Cheese, Monterey","cup, shredded"
"Cheese, Monterey, low fat","cup, shredded"
"Cheese, Mozzarella, whole milk","cup, shredded"
"Cheese, Mozzarella, whole milk",slice (1 oz)
"Cheese, Mozzarella, part skim","cup, shredded"
"Cheese, Mozzarella, part skim",slice (1 oz)
"Cheese, Mozzarella, part skim",string cheese stick
"Cheese, Mozzarella, low sodium","cup, shredded"
"Cheese, Mozzarella, low sodium",slice (1 oz)
"Cheese, Mozzarella, low sodium",string cheese stick
"Cheese, Mozzarella, nonfat or fat free","cup, shredded"
"Cheese, Mozzarella, nonfat or fat free",string cheese stick
"Cheese, Muenster",slice (1 oz)
"Cheese, Muenster, low fat",slice (1 oz)
"Cheese, Parmesan, dry grated",cup
"Cheese, Parmesan, dry grated, reduced fat",cup
"Cheese, Parmesan, hard",cup
"Cheese, Parmesan, low sodium",cup
"Parmesan cheese topping, fat free",cup
"Parmesan cheese topping, fat free",tablespoon
"Parmesan cheese topping, fat free",ounce(s)
"Cheese, Port Salut","cup, shredded"
"Cheese, Port Salut",slice (1 oz)
"Cheese, Provolone","cup, diced"
"Cheese, Provolone",slice (1 oz)
"Cheese, Provolone, reduced fat","cup, diced"
"Cheese, Provolone, reduced fat",slice (1 oz)
"Cheese, Swiss","cup, shredded"
"Cheese, Swiss",slice (1 oz)
"Cheese, Swiss, low sodium","cup, shredded"
"Cheese, Swiss, low sodium",slice (1 oz)
"Cheese, Swiss, low fat","cup, shredded"
"Cheese, Swiss, low fat",slice (1 oz)
"Cheddar cheese, low sodium",slice (1 oz)
"Cheddar cheese, low fat","cup, shredded"
"Cheddar cheese, low fat",slice (1 oz)
"Cheese, Mexican blend","cup, shredded"
"Cheese, Mexican blend, reduced fat","cup, shredded"
Queso Anejo (aged Mexican cheese),"cup, crumbled"
Queso Anejo (aged Mexican cheese),ounce(s)
Queso Asadero,"cup, shredded"
Queso Asadero,ounce(s)
Queso Asadero,slice (1 oz)
Queso Chihuahua,"cup, shredded"
Queso Chihuahua,ounce(s)
Queso Chihuahua,slice (1 oz)
Queso Fresco,cup
Queso Fresco,ounce(s)
Queso Fresco,cracker-size slice
"Cheese, cottage, creamed, large or small curd",cup
"Cheese, cottage, with fruit",cup
"Cheese, cottage, with vegetables",cup
"Cheese, cottage, fat free, dry curd","cup, dry type"
"Cheese, cottage, fat free, dry curd","cup, creamed"
"Cheese, white, Puerto Rican ",cup
"Cheese, white, Puerto Rican ",slice (1 oz)
"Cheese, cottage, low fat (1-2% fat)",cup
"Cheese, cottage, with fruit, low fat",cup
"Cheese, cottage, with vegetables, low fat",cup
"Cheese, cottage, low fat, low sodium",cup
"Cheese, cottage, low fat, lactose reduced",cup
"Cheese, cream",tablespoon
"Cheese, cream, light ",tablespoon
American and Swiss blend processed cheese,slice (.75 oz)
"American cheese, pasteurized processed",slice (1 oz)
"American cheese, pasteurized processed, low-sodium",slice (.75 oz)
"American cheese, pasteurized processed, low fat",slice (1 oz)
"American cheese spread, reduced fat",slice (1 oz)
"Cheese, processed, American, fat free","cup, shredded"
"Cheese, processed, American, fat free",slice (.75 oz)
